pointer, money, price, salary, sales, production, storage, workers, labor_capacity, plan, profit, time
0597C998, 34571.7, 0.992451, 1.93939, 200, 165, 1327.36, 33, 33, 163.232, 136, 249
0597C998, 34707.7, 1.20087, 1.42222, 200, 225, 1385.81, 45, 45, 221.674, 136, 250
0597C998, 34843.7, 0.972701, 1.88235, 200, 170, 1350.19, 34, 34, 166.547, 136, 251
0597C998, 34979.7, 1.17697, 1.3913, 200, 230, 1410.27, 46, 46, 226.174, 136, 252
0597C998, 35115.7, 0.953344, 1.88235, 200, 170, 1370.48, 34, 34, 169.928, 136, 253
0597C998, 35251.7, 1.15355, 1.3617, 200, 235, 1432.09, 47, 47, 230.766, 136, 254
0597C998, 35387.7, 0.934373, 1.82857, 200, 175, 1393.05, 35, 35, 173.378, 136, 255
0597C998, 35523.7, 1.13059, 1.33333, 200, 240, 1456.15, 48, 48, 235.452, 136, 256
0597C998, 35659.7, 0.915779, 1.77778, 200, 180, 1417.76, 36, 36, 176.898, 136, 257
0597C998, 35795.7, 1.10809, 1.30612, 200, 245, 1482.27, 49, 49, 240.232, 136, 258
0597C998, 35931.7, 0.897555, 1.72973, 200, 185, 1444.44, 37, 37, 180.49, 136, 259
0597C998, 36067.7, 1.08604, 1.28, 200, 250, 1510.29, 50, 50, 245.11, 136, 260
0597C998, 36203.7, 0.879693, 1.72973, 200, 185, 1467.94, 37, 37, 184.155, 136, 261
0597C998, 36339.7, 1.06443, 1.2549, 200, 255, 1535.05, 51, 51, 250.087, 136, 262
0597C998, 36475.7, 0.862187, 1.68421, 200, 190, 1493.1, 38, 38, 187.894, 136, 263
0597C998, 36611.7, 1.04325, 1.23077, 200, 260, 1561.4, 52, 52, 255.165, 136, 264
0597C998, 36747.7, 0.84503, 1.64103, 200, 195, 1519.73, 39, 39, 191.709, 136, 265
0597C998, 36883.7, 1.02249, 1.20755, 200, 265, 1589.12, 53, 53, 260.346, 136, 266
0597C998, 37019.7, 0.828214, 1.6, 200, 200, 1547.64, 40, 40, 195.602, 136, 267
0597C998, 37155.7, 1.00214, 1.18519, 200, 270, 1618.06, 54, 54, 265.632, 136, 268
